market,pct,holding,regime,event_n,event_avg_return,event_median_return,event_win_rate,event_avg_mdd,random_n,random_avg_return,random_median_return,random_win_rate,random_avg_mdd,excess_avg_return,excess_win_rate,excess_avg_mdd
SSE,5,60,ABOVE,115,0.050080562050618546,0.012687854460403436,0.5391304347826087,-0.11258774854773593,115,0.05928836224880911,0.027538856133371814,0.6086956521739131,-0.06258146579476422,-0.009207800198190563,-0.06956521739130439,-0.05000628275297171
SSE,5,60,BELOW,146,-0.02676791691355622,-0.014380406714576022,0.4657534246575342,-0.1331855430667303,146,0.006672077209117672,0.02870346810592539,0.5684931506849316,-0.0855009377982102,-0.03343999412267389,-0.10273972602739734,-0.0476846052685201
SSE,10,1,ALL,512,0.0034547129126204197,0.003979183736270375,0.619140625,-0.01295440372533153,512,0.00038578057798519037,0.0017342575876071464,0.5703125,-0.008886255168718427,0.003068932334635229,0.048828125,-0.004068148556613103
SSE,10,1,ABOVE,207,0.00363016974447878,0.005688846079110466,0.6280193236714976,-0.0144290849380744,207,0.0006251342763324841,0.00039698157445910986,0.5265700483091788,-0.008254578587913466,0.003005035468146296,0.10144927536231885,-0.006174506350160933
SSE,10,1,BELOW,305,0.003335632374277205,0.003036784201037479,0.6131147540983607,-0.011953554508814239,305,0.0006570349281272711,0.00039457073346560456,0.521311475409836,-0.008090539041662745,0.002678597446149934,0.09180327868852467,-0.0038630154671514937
SSE,10,3,ALL,511,0.004004232497442695,0.0030571591827628364,0.5362035225048923,-0.023941337677238033,511,0.001588911982712143,0.0020951217631957064,0.538160469667319,-0.01734873021443304,0.002415320514730552,-0.00195694716242667,-0.006592607462804993
SSE,10,3,ABOVE,207,0.005763911850434873,0.00791585815341489,0.5748792270531401,-0.025749436085455508,207,0.0011472725315246773,0.0036068323634674826,0.5942028985507246,-0.01744250386836451,0.004616639318910196,-0.019323671497584516,-0.008306932217090997
SSE,10,3,BELOW,304,0.002806029780109205,0.0006034607225015032,0.5098684210526315,-0.022710165405853116,304,0.0001995950718735533,0.0009550678350238595,0.5263157894736842,-0.017707817661160665,0.0026064347082356515,-0.016447368421052655,-0.005002347744692451
SSE,10,5,ALL,511,0.004663718962513654,0.004565269888749501,0.5538160469667319,-0.03216166768862432,511,-0.0009475352593747584,2.3092961032533665e-05,0.5009784735812133,-0.02526060483133539,0.005611254221888412,0.052837573385518644,-0.006901062857288934
SSE,10,5,ABOVE,207,0.006296302862705855,0.008520922253325347,0.6086956521739131,-0.035088105547974,207,0.005563666342308332,0.005816401486126832,0.5845410628019324,-0.020193444758264407,0.0007326365203975229,0.024154589371980673,-0.014894660789709593
SSE,10,5,BELOW,304,0.0035520582146854104,0.0018653466904848814,0.5164473684210527,-0.030168994540975044,304,-0.00015057457906085536,0.004216739361827981,0.5427631578947368,-0.024496760836004855,0.0037026327937462657,-0.02631578947368418,-0.005672233704970189
SSE,10,10,ALL,511,0.006024274222417532,0.008227541853080833,0.5772994129158513,-0.044992370380469646,511,0.004609999537185029,0.005090908354300261,0.5499021526418787,-0.031195491904079536,0.0014142746852325028,0.0273972602739726,-0.01379687847639011
SSE,10,10,ABOVE,207,0.015897984250914793,0.02025621404856892,0.6570048309178744,-0.04469128686864364,207,0.00955055593599193,0.009235590745822142,0.6570048309178744,-0.025838519658071976,0.0063474283149228625,0.0,-0.018852767210571664
SSE,10,10,BELOW,304,-0.0006989428035658008,0.002906892036102837,0.5230263157894737,-0.04519738448227222,304,0.00282492046947927,0.0024440461338766095,0.5263157894736842,-0.03412006506042348,-0.003523863273045071,-0.003289473684210509,-0.011077319421848746
SSE,10,20,ALL,511,0.004713177756984275,0.004459802542380542,0.5420743639921722,-0.06271714405028579,511,0.0026297090364122227,0.0027053936790506494,0.5185909980430529,-0.04982713150981337,0.0020834687205720528,0.023483365949119372,-0.012890012540472423
SSE,10,20,ABOVE,207,0.01924096735414476,0.017730721202859012,0.6038647342995169,-0.05888444724366539,207,0.004166913135703512,-0.0025509136680726963,0.4830917874396135,-0.047218403355128426,0.015074054218441248,0.12077294685990342,-0.011666043888536967
SSE,10,20,BELOW,304,-0.005179100027924344,-0.00012152472249055135,0.5,-0.06532690799426744,304,0.0035636161663047364,0.002457302102999437,0.5230263157894737,-0.04577390378663764,-0.00874271619422908,-0.023026315789473673,-0.019553004207629794
SSE,10,60,ALL,510,0.016503826619540102,0.0025959263669770305,0.5098039215686274,-0.10568945289450818,510,0.03286354248485038,0.003491175730543916,0.5137254901960784,-0.07315538474750174,-0.016359715865310275,-0.0039215686274509665,-0.032534068147006434
SSE,10,60,ABOVE,206,0.05855071500751963,0.012768359553029462,0.5388349514563107,-0.0941997391509882,206,0.059174912370986876,0.026541830302935998,0.5970873786407767,-0.06496924000535499,-0.0006241973634672493,-0.058252427184465994,-0.029230499145633207
SSE,10,60,BELOW,304,-0.011988472748630241,-0.008261332271948807,0.4901315789473684,-0.11347524576018292,304,-0.0006391845117177255,2.8967297313275964e-05,0.5,-0.08387961385345237,-0.011349288236912516,-0.009868421052631582,-0.02959563190673055
